index,R,left_image_path,right_image_path
0,17.184,00000-00999/00000L_(17.184).png,00000-00999/00000R_(17.184).png
1,9.3334,00000-00999/00001L_(9.3334).png,00000-00999/00001R_(9.3334).png
2,39.376,00000-00999/00002L_(39.376).png,00000-00999/00002R_(39.376).png
3,2.6033,00000-00999/00003L_(2.6033).png,00000-00999/00003R_(2.6033).png
4,49.252,00000-00999/00004L_(49.252).png,00000-00999/00004R_(49.252).png
5,24.771,00000-00999/00005L_(24.771).png,00000-00999/00005R_(24.771).png
6,4.0676,00000-00999/00006L_(4.0676).png,00000-00999/00006R_(4.0676).png
7,40.233,00000-00999/00007L_(40.233).png,00000-00999/00007R_(40.233).png
8,8.7098,00000-00999/00008L_(8.7098).png,00000-00999/00008R_(8.7098).png
9,13.41,00000-00999/00009L_(13.41).png,00000-00999/00009R_(13.41).png
10,37.828,00000-00999/00010L_(37.828).png,00000-00999/00010R_(37.828).png
11,34.3,00000-00999/00011L_(34.3).png,00000-00999/00011R_(34.3).png
12,14.042,00000-00999/00012L_(14.042).png,00000-00999/00012R_(14.042).png
13,38.391,00000-00999/00013L_(38.391).png,00000-00999/00013R_(38.391).png
14,6.3876,00000-00999/00014L_(6.3876).png,00000-00999/00014R_(6.3876).png
15,15.578,00000-00999/00015L_(15.578).png,00000-00999/00015R_(15.578).png
16,21.597,00000-00999/00016L_(21.597).png,00000-00999/00016R_(21.597).png
17,8.634,00000-00999/00017L_(8.634).png,00000-00999/00017R_(8.634).png
18,11.057,00000-00999/00018L_(11.057).png,00000-00999/00018R_(11.057).png
19,44.59,00000-00999/00019L_(44.59).png,00000-00999/00019R_(44.59).png
20,29.209,00000-00999/00020L_(29.209).png,00000-00999/00020R_(29.209).png
21,7.3924,00000-00999/00021L_(7.3924).png,00000-00999/00021R_(7.3924).png
22,22.482,00000-00999/00022L_(22.482).png,00000-00999/00022R_(22.482).png
23,31.104,00000-00999/00023L_(31.104).png,00000-00999/00023R_(31.104).png
24,21.428,00000-00999/00024L_(21.428).png,00000-00999/00024R_(21.428).png
25,33.291,00000-00999/00025L_(33.291).png,00000-00999/00025R_(33.291).png
26,29.668,00000-00999/00026L_(29.668).png,00000-00999/00026R_(29.668).png
27,21.331,00000-00999/00027L_(21.331).png,00000-00999/00027R_(21.331).png
28,23.075,00000-00999/00028L_(23.075).png,00000-00999/00028R_(23.075).png
29,46.913,00000-00999/00029L_(46.913).png,00000-00999/00029R_(46.913).png
30,26.556,00000-00999/00030L_(26.556).png,00000-00999/00030R_(26.556).png
31,7.0283,00000-00999/00031L_(7.0283).png,00000-00999/00031R_(7.0283).png
32,3.0075,00000-00999/00032L_(3.0075).png,00000-00999/00032R_(3.0075).png
33,23.295,00000-00999/00033L_(23.295).png,00000-00999/00033R_(23.295).png
34,32.645,00000-00999/00034L_(32.645).png,00000-00999/00034R_(32.645).png
35,9.2348,00000-00999/00035L_(9.2348).png,00000-00999/00035R_(9.2348).png
36,27.678,00000-00999/00036L_(27.678).png,00000-00999/00036R_(27.678).png
37,45.042,00000-00999/00037L_(45.042).png,00000-00999/00037R_(45.042).png
38,4.2238,00000-00999/00038L_(4.2238).png,00000-00999/00038R_(4.2238).png
39,7.9816,00000-00999/00039L_(7.9816).png,00000-00999/00039R_(7.9816).png
40,36.54,00000-00999/00040L_(36.54).png,00000-00999/00040R_(36.54).png
41,42.939,00000-00999/00041L_(42.939).png,00000-00999/00041R_(42.939).png
42,19.389,00000-00999/00042L_(19.389).png,00000-00999/00042R_(19.389).png
43,19.145,00000-00999/00043L_(19.145).png,00000-00999/00043R_(19.145).png
44,28.449,00000-00999/00044L_(28.449).png,00000-00999/00044R_(28.449).png
45,5.4327,00000-00999/00045L_(5.4327).png,00000-00999/00045R_(5.4327).png
46,6.3453,00000-00999/00046L_(6.3453).png,00000-00999/00046R_(6.3453).png
47,37.264,00000-00999/00047L_(37.264).png,00000-00999/00047R_(37.264).png
48,32.513,00000-00999/00048L_(32.513).png,00000-00999/00048R_(32.513).png
49,32.71,00000-00999/00049L_(32.71).png,00000-00999/00049R_(32.71).png
50,30.886,00000-00999/00050L_(30.886).png,00000-00999/00050R_(30.886).png
51,37.399,00000-00999/00051L_(37.399).png,00000-00999/00051R_(37.399).png
52,37.359,00000-00999/00052L_(37.359).png,00000-00999/00052R_(37.359).png
53,19.262,00000-00999/00053L_(19.262).png,00000-00999/00053R_(19.262).png
54,16.872,00000-00999/00054L_(16.872).png,00000-00999/00054R_(16.872).png
