index,R
0,17.184
1,9.3334
2,39.376
3,2.6033
4,49.252
5,24.771
6,4.0676
7,40.233
8,8.7098
9,13.41
10,37.828
11,34.3
12,14.042
13,38.391
14,6.3876
15,15.578
16,21.597
17,8.634
18,11.057
19,44.59
20,29.209
21,7.3924
22,22.482
23,31.104
24,21.428
25,33.291
26,29.668
27,21.331
28,23.075
29,46.913
30,26.556
31,7.0283
32,3.0075
33,23.295
34,32.645
35,9.2348
36,27.678
37,45.042
38,4.2238
39,7.9816
40,36.54
41,42.939
42,19.389
43,19.145
44,28.449
45,5.4327
46,6.3453
47,37.264
48,32.513
49,32.71
50,30.886
51,37.399
52,37.359
53,19.262
54,16.872
55,10.16
56,30.228
57,15.12
58,24.265
59,44.697
60,7.7802
61,31.983
62,21.693
63,11.185
64,3.0267
65,38.588
66,15.983
67,25.787
68,6.9577
69,33.706
70,2.2581
71,34.33
72,28.505
73,5.2531
74,26.368
75,4.5407
76,20.133
77,38.747
78,31.165
79,14.394
80,26.26
81,7.6697
82,6.4457
83,38.915
84,33.035
85,19.095
86,20.559
87,27.527
88,8.9512
89,40.266
90,11.191
91,20.766
92,17.492
93,40.515
94,23.007
95,37.584
96,31.88
97,20.987
98,42.545
99,15.953
100,41.731
101,30.008
102,11.811
103,17.876
104,31.399
105,43.024
106,17.717
107,23.37
108,26.351
109,29.796
110,47.647
111,17.829
112,38.648
113,39.298
114,37.338
115,36.469
116,20.066
117,8.0017
118,24.964
119,16.53
120,31.638
121,14.865
122,44.157
123,22.6
124,15.746
125,31.959
126,6.4949
127,27.902
128,46.25
129,25.262
130,4.6716
131,34.45
132,46.687
133,45.724
134,28.209
135,24.767
136,26.458
137,38.706
138,4.5886
139,31.956
140,13.678
141,9.7007
142,45.651
143,13.568
144,5.1814
145,5.0036
146,42.96
147,31.215
148,26.922
149,18.273
150,7.2203
151,39.834
152,28.836
153,45.789
154,41.983
155,24.077
156,28.17
157,28.352
158,33.114
159,26.755
160,38.519
161,3.9735
162,17.801
163,42.427
164,9.9403
165,33.908
166,28.714
167,41.304
168,7.9711
169,39.145
170,18.029
171,12.229
172,38.111
173,9.8392
174,12.587
175,16.623
176,22.85
177,26.377
178,11.477
179,18.9
180,30.985
181,35.978
182,42.223
183,20.043
184,43.262
185,28.694
186,10.138
187,4.227
188,21.948
189,17.066
190,14.034
191,18.868
192,42.716
193,39.314
194,45.569
195,11.196
196,21.311
197,33.049
198,25.743
199,1.6925
200,30.782
201,22.233
202,48.248
203,29.808
204,23.024
205,33.007
206,30.665
207,38.41
208,39.426
209,31.584
210,10.934
211,21.252
212,24.142
213,13.991
214,37.657
215,6.0813
216,46.616
217,39.618
218,18.7
219,34.354
220,19.129
221,38.218
222,45.75
223,43.516
224,9.8672
225,41.936
226,45.838
227,28.418
228,20.636
229,11.124
230,13.489
231,38.136
232,29.234
233,26.69
234,31.002
235,30.111
236,25.846
237,10.762
238,44.263
239,8.3617
240,7.8645
241,36.357
242,4.9045
243,38.238
244,18.675
245,12.671
246,41.041
247,4.0478
248,34.339
249,43.824
250,24.774
251,26.192
252,12.958
253,27.87
254,11.956
255,34.243
256,43.387
257,27.96
258,24.524
259,38.455
260,11.948
261,36.741
262,11.367
263,33.561
264,22.909
265,13.677
266,33.932
267,2.069
268,33.572
269,12.652
270,46.282
271,37.805
272,19.695
273,17.165
274,25.189
275,26.449
276,46.124
277,13.73
278,26.067
279,20.17
280,16.198
281,10.917
282,13.622
283,10.521
284,45.687
285,43.976
286,17.631
287,38.348
288,35.474
289,11.532
290,21.732
291,26.683
292,41.887
293,5.9185
294,30.632
295,30.458
296,42.584
297,27.381
298,24.737
299,24.667
300,35.562
301,18.151
302,31.346
303,40.312
304,41.444
305,29.305
306,40.705
307,24.79
308,41.224
309,27.722
310,35.137
311,41.754
312,31.863
313,2.9169
314,30.675
315,43.385
316,2.1116
317,31.75
318,40.349
319,21.631
320,38.705
321,46.624
322,4.9244
323,2.8967
324,16.957
325,28.046
326,27.466
327,29.222
328,43.443
329,9.1035
330,11.364
331,44.294
332,16.737
333,41.49
334,23.829
335,44.558
336,45.473
337,36.734
338,32.743
339,0.77691
340,40.363
341,35.708
342,20.471
343,7.3226
344,33.742
345,36.639
346,13.236
347,31.797
348,4.4404
349,24.499
350,3.5034
351,18.266
352,37.013
353,25.416
354,39.168
355,11.253
356,45.409
357,16.0
358,48.442
359,2.1121
360,33.669
361,11.067
362,34.507
363,22.529
364,25.677
365,25.313
366,46.412
367,9.8224
368,25.407
369,2.0112
370,47.33
371,35.081
372,20.02
373,9.7767
374,16.315
375,39.284
376,48.708
377,3.1629
378,15.566
379,4.8044
380,7.4806
381,7.7272
382,16.37
383,37.129
384,11.101
385,21.859
386,30.811
387,35.662
388,44.086
389,36.628
390,30.663
391,43.229
392,21.177
393,3.4681
394,30.141
395,11.127
396,32.751
397,9.0345
398,39.295
399,39.22
400,17.894
401,24.399
402,41.253
403,27.03
404,10.903
405,19.221
406,24.708
407,45.522
408,28.512
409,13.077
410,38.351
411,17.969
412,42.387
413,5.6326
414,44.783
415,36.755
416,37.856
417,42.425
418,29.636
419,19.109
420,2.6969
421,15.019
422,14.529
423,4.5186
424,26.448
425,10.635
426,21.795
427,12.645
428,8.0018
429,24.39
430,26.677
431,19.131
432,5.2818
433,38.318
434,1.4608
435,45.185
436,4.1576
437,42.729
438,45.525
439,29.187
440,28.369
441,7.6817
442,41.202
443,34.787
444,40.8
445,37.805
446,29.082
447,18.29
448,44.746
449,20.809
